Reason to manager,Reason  in exit interview,Recommendation ,Manager Action
Business Travel,Business Travel ,Travel opportunity,Relocations
Better Benefits,Facilties,Benchmark policies,Benchmark policies
Growth,Competition,Intrapenuraship,Intrapenuraship
Team Bonding,Conflict with Manager,Change Manager,Change Manager
Getting Married,Personal,Internal transfer,Internal transfer
Repetitive Task,Technology,Job rotation,Job rotation
Technology,Higher Studies,Sabbatical leave,Higher Education Program
Repetitive Task,Want Challenging Task,Job rotation,Job rotation
Salary,Salary,Bonus,Stockoptions
Salary,Higher Pay,Stockoption,Stockoptions
Recognition,Recognition,Relook Reward strategy,Acknowledge and Appreciate
Salary,Growth,Stock options,Stock options
Repetitive task,Want Challenging task,Fellowship,
Family Responsibilities,Rigid Maternity Policy,Flexible policies,
Technology,Higher studies,Sabbatical leave,
